"","MSNDATE","PeriodOfDay","Year","TGTCOUNTRY","TGTLATDD_DDD_WGS84","TGTLONDDD_DDD_WGS84","VALID_AIRCRAFT_ROOT","WEAPONTYPEWEIGHT","TIMEONTARGET","TargetType"
"1","1967-07-24","N",1967,"NORTH VIETNAM",17.483333,106.5375,"B-57",0,1220,"MOTOR VEHICLE"
"2","1966-10-01","D",1966,"SOUTH VIETNAM",16.46710111,107.3360508,"B-57",25,600,"ANTI-AIRCRAFT"
"3","1966-04-25","N",1966,"NORTH VIETNAM",17.833333,105.883333,"B-57",272,1750,"TROOPS"
"4","1966-04-03","D",1966,"NORTH VIETNAM",17.933333,105.816666,"B-57",0,1008,"ROAD"
"5","1968-06-19","N",1968,"NORTH VIETNAM",17.298611,106.205555,"B-57",694,1338,"MOTOR VEHICLE"
"6","1967-09-15","N",1967,"NORTH VIETNAM",17,106.975,"B-57",0,1720,"ANTI-AIRCRAFT"
"7","1966-09-20","D",1966,"NORTH VIETNAM",17.68,106.046,"B-57",25,1235,"BRIDGE"
"8","1967-07-01","N",1967,"NORTH VIETNAM",17.723611,106.453333,"B-57",0,1710,"MOTOR VEHICLE"
"9","1967-09-30","N",1967,"NORTH VIETNAM",16.977777,106.945,"B-57",500,1601,"ANTI-AIRCRAFT"
"10","1967-08-23","N",1967,"NORTH VIETNAM",17.625,106.433,"B-57",900,1235,"MOTOR VEHICLE"
"11","1967-07-02","N",1967,"NORTH VIETNAM",17.631944,106.384722,"B-57",0,1445,"AREA\DEPOT"
"12","1968-03-17","D",1968,"SOUTH VIETNAM",11.53542343,108.8035494,"B-57",25,313,"AREA\DEPOT"
"13","1966-08-15","D",1966,"NORTH VIETNAM",17.2,106.683,"B-57",1104,922,"TROOPS"
"14","1967-05-04","N",1967,"NORTH VIETNAM",16.933333,106.583333,"B-57",500,1431,"AREA\DEPOT"
"15","1966-08-04","D",1966,"NORTH VIETNAM",17.067,107.067,"B-57",500,314,"AREA\DEPOT"
"16","1966-08-05","D",1966,"NORTH VIETNAM",17.167,106.733,"B-57",263,820,"BRIDGE"
"17","1967-09-06","N",1967,"NORTH VIETNAM",17.088333,106.911388,"B-57",0,1405,"TRUCK PARK\STOP"
"18","1968-07-26","N",1968,"NORTH VIETNAM",17.084,107.084,"B-57",500,1525,"ANTI-AIRCRAFT"
"19","1967-09-11","N",1967,"NORTH VIETNAM",17.569444,106.448611,"B-57",0,1705,"MOTOR VEHICLE"
"20","1966-08-07","D",1966,"NORTH VIETNAM",17.167,106.733,"B-57",1104,830,"BRIDGE"
"21","1967-07-04","N",1967,"NORTH VIETNAM",17.6875,106.480555,"B-57",0,1518,"ANTI-AIRCRAFT"
"22","1966-08-06","D",1966,"NORTH VIETNAM",16.9,106.75,"B-57",50,913,"AREA\DEPOT"
"23","1967-09-07","N",1967,"NORTH VIETNAM",17.765277,105.780555,"B-57",799,1755,"MOTOR VEHICLE"
"24","1967-09-09","D",1967,"NORTH VIETNAM",17.336111,106.630555,"B-57",680,1350,"MOTOR VEHICLE"
"25","1967-07-29","N",1967,"NORTH VIETNAM",17.952777,105.816666,"B-57",0,1215,"MOTOR VEHICLE"
"26","1967-09-12","D",1967,"NORTH VIETNAM",16.913888,106.956388,"B-57",0,1615,"UNKNOWN\UNIDENTIFIED"
"27","1967-05-12","N",1967,"NORTH VIETNAM",17.216666,106.666666,"B-57",680,1508,"MOTOR VEHICLE"
"28","1968-03-24","N",1968,"NORTH VIETNAM",17.758,105.772,"B-57",50,0,"NO TARGET ACQUIRED"
"29","1967-09-10","N",1967,"NORTH VIETNAM",17.516666,106.5,"B-57",799,0,"UNKNOWN\UNIDENTIFIED"
